Date,Adj Close,Close,High,Low,Open,Volume,RawChange,PctChange,LogChange
2020-12-11,196.63494873046875,204.11000061035156,207.6999969482422,203.6699981689453,204.1999969482422,1453300,,,
2020-12-14,196.49041748046875,203.9600067138672,208.07000732421875,203.8699951171875,206.30999755859375,2202200,-0.149993896484375,-0.0007348679439314054,-0.0007351380917356634
2020-12-15,200.411376953125,208.02999877929688,209.16000366210938,203.39999389648438,204.6300048828125,1794400,4.0699920654296875,0.01995485355685167,0.019758365097850193
2020-12-16,201.54820251464844,209.2100067138672,212.22000122070312,207.66000366210938,209.1199951171875,1330300,1.1800079345703125,0.005672296983581626,0.005656270084705065
2020-12-17,203.56170654296875,211.3000030517578,213.6199951171875,209.49000549316406,209.77000427246094,2148500,2.089996337890625,0.009989944413840046,0.009940374777705584
2020-12-18,197.96446228027344,205.49000549316406,211.8300018310547,204.52999877929688,211.36000061035156,3485200,-5.80999755859375,-0.02749643859290718,-0.027881541380978682
2020-12-21,201.49037170410156,209.14999389648438,209.4499969482422,201.36000061035156,205.69000244140625,2415500,3.6599884033203125,0.017811028787198424,0.017654271021922612
2020-12-22,201.56747436523438,209.22999572753906,210.85000610351562,206.13999938964844,208.41000366210938,2203600,0.0800018310546875,0.0003825093635636545,0.00038243622550711417
2020-12-23,200.2861785888672,207.89999389648438,211.66000366210938,207.13999938964844,210.3699951171875,1051300,-1.3300018310546875,-0.006356649898261346,-0.00637693942520713
2020-12-24,202.8969268798828,210.61000061035156,210.99000549316406,208.0,209.5500030517578,430000,2.7100067138671875,0.013035145711531415,0.012950919345382356
2020-12-28,199.25537109375,206.8300018310547,212.39999389648438,206.72000122070312,211.49000549316406,1279000,-3.779998779296875,-0.017947859875325767,-0.01811087618723215
2020-12-29,199.33245849609375,206.91000366210938,208.9499969482422,206.14999389648438,208.14999389648438,655700,0.0800018310546875,0.0003867999339866035,0.0003867251461767959
