Date,Adj Close,Close,High,Low,Open,Volume
2020-12-21,201.5667266845703,209.00999450683594,209.8000030517578,204.7899932861328,208.27000427246094,7576700
2020-12-22,198.5095672607422,205.83999633789062,208.39999389648438,205.60000610351562,208.38999938964844,7396200
2020-12-23,197.98883056640625,205.3000030517578,207.3300018310547,205.11000061035156,207.3300018310547,6523100
2020-12-24,201.26771545410156,208.6999969482422,208.82000732421875,206.60000610351562,206.63999938964844,3367900
2020-12-28,205.0577850341797,212.6300048828125,213.4600067138672,208.9499969482422,209.85000610351562,5816200
2020-12-29,206.73577880859375,214.3699951171875,215.24000549316406,213.5399932861328,214.61000061035156,6093400
2020-12-30,210.58375549316406,218.36000061035156,220.38999938964844,215.64999389648438,216.0,8875100
2020-12-31,210.94053649902344,218.72999572753906,219.82000732421875,216.1999969482422,218.39999389648438,5922200
2021-01-04,210.00506591796875,217.75999450683594,220.25,214.24000549316406,220.25,10318300
2021-01-05,206.87081909179688,214.50999450683594,218.4600067138672,213.63999938964844,216.30999755859375,6869700
2021-01-06,205.0481414794922,212.6199951171875,216.1699981689453,212.07000732421875,213.8000030517578,7206200
2021-01-07,206.19573974609375,213.80999755859375,215.22000122070312,212.1999969482422,212.1999969482422,10967900
2021-01-08,207.77734375,215.4499969482422,216.1199951171875,212.75,214.1699981689453,6513000
2021-01-11,205.30853271484375,212.88999938964844,214.86000061035156,212.47999572753906,213.9600067138672,7353100
2021-01-12,201.4220428466797,208.86000061035156,212.7899932861328,207.47000122070312,212.33999633789062,9331600
2021-01-13,201.8945770263672,209.35000610351562,211.0,208.6300048828125,209.41000366210938,6688500
2021-01-14,194.67132568359375,201.86000061035156,211.2100067138672,201.72999572753906,210.57000732421875,12887500
2021-01-15,194.41091918945312,201.58999633789062,203.25999450683594,200.42999267578125,201.5399932861328,8755000
2021-01-19,194.4784393310547,201.66000366210938,204.1699981689453,200.07000732421875,203.0500030517578,9772000
2021-01-20,198.67352294921875,206.00999450683594,207.19000244140625,202.22999572753906,203.02999877929688,12675700
2021-01-21,197.83453369140625,205.13999938964844,207.1699981689453,204.75,206.0500030517578,6513500
2021-01-22,194.82566833496094,202.02000427246094,205.3300018310547,201.8000030517578,203.99000549316406,7316200
2021-01-25,193.82269287109375,200.97999572753906,201.63999938964844,195.75,200.33999633789062,19282400
2021-01-26,194.8159942626953,202.00999450683594,203.49000549316406,200.97000122070312,201.75999450683594,9605300
2021-01-27,188.02667236328125,194.97000122070312,199.6999969482422,193.9600067138672,197.63999938964844,13772400
2021-01-28,191.1609649658203,198.22000122070312,202.0,198.1699981689453,200.0,11041300
2021-01-29,186.36795043945312,193.25,203.0500030517578,192.80999755859375,197.82000732421875,21503000
2021-02-01,191.2959747314453,198.36000061035156,199.2100067138672,195.02000427246094,195.13999938964844,12970700
2021-02-02,195.39462280273438,202.61000061035156,204.35000610351562,200.0,200.85000610351562,11305100
2021-02-03,194.18914794921875,201.36000061035156,203.50999450683594,200.97999572753906,203.07000732421875,13458600
2021-02-04,201.79815673828125,209.25,209.67999267578125,203.10000610351562,203.24000549316406,14534800
2021-02-05,201.33523559570312,208.77000427246094,210.1300048828125,208.66000366210938,209.97999572753906,10284000
2021-02-08,199.522216796875,206.88999938964844,210.64999389648438,205.91000366210938,210.0,8637100
2021-02-09,199.1653594970703,206.52000427246094,207.6300048828125,203.6999969482422,205.75999450683594,7619400
2021-02-10,199.08824157714844,206.44000244140625,207.97000122070312,205.94000244140625,207.97000122070312,8467600
2021-02-11,203.4733428955078,210.66000366210938,211.58999633789062,207.19000244140625,207.3300018310547,8411100
2021-02-12,202.7972412109375,209.9600067138672,211.1300048828125,207.67999267578125,209.36000061035156,6911000
2021-02-16,200.8074951171875,207.89999389648438,211.0500030517578,207.35000610351562,210.66000366210938,9652700
2021-02-17,200.4307861328125,207.50999450683594,208.27999877929688,205.05999755859375,205.25999450683594,8373200
2021-02-18,202.2080078125,209.35000610351562,209.6999969482422,204.9600067138672,205.8800048828125,7328600
2021-02-19,197.7456817626953,204.72999572753906,209.52999877929688,203.75999450683594,209.33999633789062,15011500
2021-02-22,201.21319580078125,208.32000732421875,210.64999389648438,203.11000061035156,203.5500030517578,8337700
2021-02-23,204.87391662597656,212.11000061035156,213.91000366210938,206.5500030517578,207.39999389648438,10571700
2021-02-24,211.9441375732422,219.42999267578125,220.52999877929688,211.2899932861328,212.36000061035156,12039000
2021-02-25,206.4579315185547,213.75,220.4499969482422,212.5800018310547,219.2899932861328,11404300
2021-02-26,205.144287109375,212.38999938964844,215.2100067138672,210.74000549316406,214.0500030517578,11730000
2021-03-01,209.23968505859375,216.6300048828125,217.8000030517578,214.7899932861328,214.97000122070312,6982000
2021-03-02,208.40902709960938,215.77000427246094,217.92999267578125,214.82000732421875,216.9600067138672,6155200
2021-03-03,207.52040100097656,214.85000610351562,217.19000244140625,212.86000061035156,215.14999389648438,6484600
2021-03-04,204.28466796875,211.5,217.02000427246094,208.6699981689453,215.97000122070312,10658900
2021-03-05,208.06130981445312,215.41000366210938,216.10000610351562,209.6300048828125,213.72999572753906,7582000
2021-03-08,212.75547790527344,220.27000427246094,226.1300048828125,215.80999755859375,216.97999572753906,14750400
2021-03-09,212.84246826171875,220.36000061035156,225.0,220.19000244140625,222.05999755859375,9228600
2021-03-10,215.5565643310547,223.1699981689453,224.19000244140625,219.39999389648438,220.72000122070312,7822900
2021-03-11,218.43490600585938,226.14999389648438,228.22999572753906,223.80999755859375,224.52999877929688,10053400
2021-03-12,216.7060089111328,224.36000061035156,226.5399932861328,223.4199981689453,225.27999877929688,8172400
2021-03-15,215.65316772460938,223.27000427246094,227.08999633789062,221.74000549316406,224.22999572753906,9306100
2021-03-16,217.0343780517578,224.6999969482422,225.5800018310547,222.3000030517578,223.7100067138672,8949300
2021-03-17,215.4116973876953,223.02000427246094,226.24000549316406,221.75999450683594,225.0500030517578,8675600
2021-03-18,213.13221740722656,220.66000366210938,222.52000427246094,219.5800018310547,221.42999267578125,9321800
2021-03-19,199.8416290283203,206.89999389648438,220.1699981689453,206.8800048828125,219.1199951171875,32209700
2021-03-22,200.90408325195312,208.0,212.2899932861328,206.22999572753906,206.5500030517578,11371600
2021-03-23,201.04896545410156,208.14999389648438,209.9600067138672,207.5,209.0500030517578,8820700
2021-03-24,200.97171020507812,208.07000732421875,211.13999938964844,207.92999267578125,208.75,10101600
2021-03-25,200.87510681152344,207.97000122070312,208.82000732421875,205.77999877929688,207.6699981689453,8390800
2021-03-26,206.2454376220703,213.52999877929688,213.6999969482422,207.6999969482422,208.25,7399900
2021-03-29,207.19200134277344,214.50999450683594,215.2899932861328,211.1199951171875,212.4499969482422,7792300
2021-03-30,204.6710205078125,211.89999389648438,214.14999389648438,211.41000366210938,213.00999450683594,5498000
2021-03-31,204.50689697265625,211.72999572753906,214.11000061035156,211.5500030517578,212.5500030517578,13180000
2021-04-01,209.46185302734375,216.86000061035156,217.74000549316406,212.3000030517578,213.77999877929688,6138400
2021-04-05,211.5674591064453,219.0399932861328,220.50999450683594,217.30999755859375,218.60000610351562,10440500
2021-04-06,211.19073486328125,218.64999389648438,219.39999389648438,215.33999633789062,217.6199951171875,7828100
2021-04-07,211.78964233398438,219.27000427246094,221.0399932861328,218.63999938964844,219.1199951171875,5614300
2021-04-08,213.1708221435547,220.6999969482422,222.82000732421875,218.11000061035156,219.97000122070312,11042000
2021-04-09,214.92874145507812,222.52000427246094,222.60000610351562,219.50999450683594,221.0,5724900
2021-04-12,213.91458129882812,221.47000122070312,221.91000366210938,219.22000122070312,220.24000549316406,6315200
2021-04-13,213.4799041748047,221.02000427246094,221.6199951171875,220.22000122070312,221.0,4764000
2021-04-14,214.4071807861328,221.97999572753906,223.10000610351562,220.07000732421875,221.0,4972600
2021-04-15,218.56051635742188,226.27999877929688,227.6300048828125,223.86000061035156,223.88999938964844,8698100
2021-04-16,218.68603515625,226.41000366210938,227.8000030517578,225.75999450683594,227.1699981689453,6829400
2021-04-19,218.0872039794922,225.7899932861328,227.5800018310547,225.0800018310547,225.75,6541600
2021-04-20,215.66282653808594,223.27999877929688,225.3800048828125,221.82000732421875,224.77999877929688,5799100
2021-04-21,219.69058227539062,227.4499969482422,227.8699951171875,222.8699951171875,223.30999755859375,9490600
2021-04-22,219.80645751953125,227.57000732421875,230.92999267578125,226.88999938964844,227.3000030517578,7303000
2021-04-23,222.15357971191406,230.0,231.82000732421875,227.7100067138672,228.61000061035156,5345200
2021-04-26,222.48196411132812,230.33999633789062,232.9499969482422,229.52000427246094,230.77000427246094,5650000
2021-04-27,222.066650390625,229.91000366210938,231.16000366210938,228.99000549316406,231.02999877929688,6642100
2021-04-28,225.48585510253906,233.4499969482422,236.27000427246094,230.6699981689453,230.9499969482422,10111400
2021-04-29,228.77952575683594,236.86000061035156,237.5,233.14999389648438,235.22999572753906,7411400
2021-04-30,225.59213256835938,233.55999755859375,235.92999267578125,232.2899932861328,235.32000732421875,10260200
2021-05-03,224.6745147705078,232.61000061035156,235.74000549316406,231.38999938964844,234.0500030517578,8174400
2021-05-04,224.1143341064453,232.02999877929688,232.38999938964844,230.22999572753906,231.60000610351562,5884500
2021-05-05,221.39051818847656,229.2100067138672,233.85000610351562,228.66000366210938,233.85000610351562,6523200
2021-05-06,223.42855834960938,231.32000732421875,231.5800018310547,228.66000366210938,229.6300048828125,6124100
2021-05-07,224.20123291015625,232.1199951171875,233.22000122070312,230.7100067138672,232.33999633789062,4528700
2021-05-10,218.26104736328125,225.97000122070312,232.0,225.16000366210938,231.60000610351562,9627400
2021-05-11,217.78775024414062,225.47999572753906,226.4199981689453,222.0399932861328,223.74000549316406,7633300
2021-05-12,213.10324096679688,220.6300048828125,225.0,220.30999755859375,223.6300048828125,7721300
2021-05-13,216.42103576660156,223.74000549316406,224.89999389648438,220.88999938964844,221.50999450683594,6650100
2021-05-14,219.516357421875,226.94000244140625,227.50999450683594,224.9199981689453,225.82000732421875,4777200
2021-05-17,219.03273010253906,226.44000244140625,227.16000366210938,225.32000732421875,226.17999267578125,5534200
2021-05-18,218.19119262695312,225.57000732421875,229.17999267578125,225.42999267578125,228.38999938964844,6900000
2021-05-19,217.2432098388672,224.58999633789062,224.85000610351562,221.7899932861328,222.75999450683594,9311900
2021-05-20,219.03273010253906,226.44000244140625,227.60000610351562,225.24000549316406,225.44000244140625,7478600
2021-05-21,219.35189819335938,226.77000427246094,229.30999755859375,226.5500030517578,226.8800048828125,5603900
2021-05-24,221.8184814453125,229.32000732421875,230.11000061035156,227.6300048828125,227.9499969482422,4040100
2021-05-25,221.52828979492188,229.02000427246094,230.19000244140625,228.4199981689453,229.89999389648438,4689100
2021-05-26,219.64212036132812,227.07000732421875,229.35000610351562,226.3800048828125,228.0500030517578,4295600
2021-05-27,219.43898010253906,226.86000061035156,228.4199981689453,226.3699951171875,227.75999450683594,5969600
2021-05-28,219.8645477294922,227.3000030517578,229.42999267578125,227.14999389648438,227.58999633789062,5779700
2021-06-01,219.2164764404297,226.6300048828125,230.0800018310547,226.27999877929688,229.44000244140625,5091500
2021-06-02,222.14743041992188,229.66000366210938,233.11000061035156,228.77999877929688,229.22000122070312,9081100
2021-06-03,220.64808654785156,228.11000061035156,230.38999938964844,227.77000427246094,229.0,6382400
2021-06-04,222.61166381835938,230.13999938964844,230.6999969482422,228.72999572753906,229.35000610351562,5085700
2021-06-07,223.7530975341797,231.32000732421875,234.67999267578125,230.0800018310547,232.85000610351562,5421300
2021-06-08,224.45919799804688,232.0500030517578,232.85000610351562,230.16000366210938,232.14999389648438,4170600
2021-06-09,224.710693359375,232.30999755859375,234.85000610351562,232.1199951171875,232.5,4659000
2021-06-10,226.29702758789062,233.9499969482422,234.25999450683594,232.1300048828125,233.10000610351562,4452500
2021-06-11,227.27401733398438,234.9600067138672,235.44000244140625,233.7100067138672,234.38999938964844,5378300
2021-06-14,226.42276000976562,234.0800018310547,235.22000122070312,231.57000732421875,234.6999969482422,5805800
